Name,Water(g),Energy(g),Protein(g),Fat(g),Carbohydrate(mg),Fiber(mg),Ash(mg),Calcium(CA)(mg),Phospor(P)(mg),Iron(Fe)(mg),Sodium(Na)(mg),Pottasium(Ka)(mg),Copper(Cu)(mg),Zinc(Zn)(mg),Retinol(vit.A)(mcg),?-carotene(mcg),Carotene(Total)(mcg),Thiamin(vit.B1)(mcg),Riboflavin(vit.B2)(mg),Niacin(mg),Vitamin_C(mg),Eaten%,Raw_Processed,Group
"Duku, fresh",82,63,1,0.2,16.1,4.3,0.7,18,9,0.9,2,147.5,0.09,0.2,-,-,-,0.05,0.15,1.5,9,64,Single,Fruit
"Durian, fresh",65,134,2.5,3,28,3.5,8,7,44,1.3,1,601,0.12,0.3,-,146,175,0.1,0.19,136.5,53,22,Single,Fruit
"Jambolan, fresh",80.2,80,0.5,0.6,18.2,0.9,0.5,33,138,1.3,16,92.7,191.28,0.3,-,329,-,0.02,0.01,2.5,130,67,Single,Fruit
"Kuwini, fresh",72.5,98,1.4,0.2,25.4,1.9,0.5,21,15,0.5,3,250.9,0.13,0.1,-,"2,533","1,218",0.03,0.09,0.7,56,65,Single,Fruit
"Tamarillo, fresh",73,122,3.5,4.5,17.5,9.3,1.5,63,69,3.2,-,-,-,-,-,-,"2,357",0.02,-,-,-,98,Single,Fruit
"Passion-fruit (granadilla), fresh",80,70,0.6,-,18.9,7.7,0.5,11,50,1.1,21,257.1,0.06,0.1,-,549,10,-,0.1,1.1,16,33,Single,Fruit
Kundang,80.8,68,0.7,0.1,18,2.2,0.4,9,20,1,3,129,-,-,-,329,"1,020",0.03,0.07,0.7,111,70,Single,Fruit
"Chestnut, fresh",52.7,191,4.5,1.5,39.7,13.4,1.6,186,69,3.2,17,403.3,0.69,1.4,-,51,-,0.05,0.2,1.8,-,100,Single,Fruit
"Roseapple, fresh",87,46,0.6,0.2,11.8,2.1,0.8,8,9,1.1,11,321.2,-,0.1,-,92,-,0.02,0.38,4.6,5,90,Single,Fruit
"Guava, fresh",86,49,0.9,0.3,12.2,2.4,0.6,14,28,1.1,10,52.8,0.02,0.3,-,27,25,0.02,0.03,0.8,87,82,Single,Fruit
"Guava, white, seedles, fresh",82.8,61,0.9,0.3,15.4,4.5,0.6,31,41,0.2,20,103,0.04,0.5,-,53,18,1.02,0.06,1.3,116,82,Single,Fruit
"Malay Apple, fresh",87.1,49,2.3,0.2,9.6,3.5,0.8,8,8,0.3,1,14,-,-,-,92,-,0.13,0.01,0.5,22,67,Single,Fruit
"Cashew apple, fresh",82.6,64,0.7,0.6,15.8,1.2,0.3,4,13,0.5,12,107.8,-,-,-,"1,604",25,0.02,-,2,197,90,Single,Fruit
"Pummelo, fresh",86.3,48,0.6,0.2,12.4,0.8,0.5,23,27,0.5,21,366.1,171.25,0.1,-,33,20,0.04,-,0.4,43,62,Single,Fruit
"Banjar oranges, fresh",84.5,61,0.8,0.2,14.1,-,0.4,9,13,0.2,3,79,0.1,0.1,-,9,-,0.12,0.03,0.3,31,72,Single,Fruit
"Garut oranges, tangerines",87.3,44,0.8,0.3,10.9,1.6,0.7,33,23,0.4,5,518.1,169.3,0.2,-,0.3,420,0.07,0.03,0.2,31,71,Single,Fruit
"Kalamansi Oranges, fresh",90.2,39,0.3,0.3,8.9,2.3,0.4,42,85,0.5,82,82,0.3,0.1,-,"1,000",0.3,0.02,0.1,-,30,100,Single,Fruit
"Sweet Oranges, fresh",87.2,45,0.9,0.2,11.2,1.4,0.5,33,23,0.4,4,472.1,160,0.2,-,0.3,190,0.08,0.03,0.2,49,72,Single,Fruit
"Lime, fresh",88.9,44,0.5,0.2,10,0.4,0.4,18,22,0.2,3,108.9,0.06,0.1,-,23,4,0.01,0.03,0.2,20,76,Single,Fruit
"Yeast oranges, fresh",87.6,49,0.7,0.2,11.1,0.5,0.4,36,67,0.7,4,457.3,155,0.2,-,0.3,68,0.03,0.03,0.2,30,59,Single,Fruit
"Wood apple (Kawista), fresh",71.8,120,3.5,2.5,20.8,4.6,1.4,190,230,1.6,9,"1,015.60",308.43,0.4,-,99,-,0.07,0.07,0.4,3,72,Single,Fruit
"Ambarella (Kedondong), ripe, fresh",88,46,1,0.1,10.3,2.6,0.6,15,22,2.8,2,216.2,0.03,0.1,-,164,233,0.08,0.23,0.3,30,58,Single,Fruit
"Ambarella (Kedondong), fresh",87.8,47,0.5,0.2,10.4,2.7,0.6,7,58,0.8,2,-,-,0.2,-,167,-,0.07,0.04,0.4,32,58,Single,Fruit
"Forest coconut, dried",6,623,2,52.1,36.5,15.3,3.4,120,280,3.8,100,460,1.7,1.9,-,-,-,-,-,0.2,-,-,Single,Fruit
"Coconut, flesh, young, fresh",83.3,68,1,0.9,14,-,0.8,7,30,1,18,564.6,0.14,0.4,-,-,-,0.06,0.02,0.6,4,53,Single,Fruit
"Kemang, fresh",86.5,48,1,0.2,11.9,1.7,0.4,10,24,0.1,2,88.6,0.04,0.1,-,318,6,0.08,0.01,0.3,58,65,Single,Fruit
"Persimmons, fresh",78.2,78,0.8,0.4,20,0.6,0.6,6,26,0.3,0.3,34.5,0.13,0.1,-,109,"2,710",0.05,-,0.1,11,97,Single,Fruit
"Kokosan, fresh",85,86,1.6,0.2,13,1.4,0.2,22,38,1.3,2,118.3,0.08,0.2,-,-,20,0.04,0.04,1.5,3,64,Single,Fruit
"Sweet inga, fresh",20.1,315,2.1,1.4,73.5,-,2.9,160,120,3.7,-,-,-,-,-,-,-,0.02,-,-,-,31,Single,Fruit
"Langsat, fresh",84.1,56,0.9,0.2,14.3,1.4,0.5,17,24,1.1,1,232,0.09,0.2,-,-,-,0.07,-,0.8,9,64,Single,Fruit
"Lemon, fresh",92.2,34,0.5,0.8,6.2,0.1,0.3,23,20,0.3,31,140,0.1,0.2,-,-,-,0.09,0.12,0.3,50,100,Single,Fruit
"Palmyra palm (lontar), fresh",93,27,0.4,0.2,6,1.6,0.4,91,243,0.5,-,-,-,-,-,-,-,0.03,-,-,-,79,Single,Fruit
"Mango, fresh",86.6,52,0.7,-,12.3,1.6,0.2,20,16,1,3,140,0.33,0,-,316,-,0.03,0.01,0.3,12,65,Single,Fruit
"Mango, benggala, fresh",84.4,63,2.4,0.4,12.4,5.8,0.4,9,13,0.2,3,79,0.1,0.1,-,10,-,0.18,0.01,0.4,43,65,Single,Fruit
"Mango, gedung, fresh",87.4,44,0.7,0.2,11.2,1.6,0.5,13,10,0.2,2,83.6,0.04,0.1,-,113,"16,400",0.08,0.01,0.3,30,65,Single,Fruit
"Mango, golek, fresh",82.2,63,0.5,0.2,16.7,2.3,0.4,14,10,0.7,3,118.1,0.05,0.1,-,160,"3,715",0.08,0.02,0.4,65,65,Single,Fruit
"Mango, harumanis, fresh",86.6,46,0.4,0.2,11.9,1.7,0.8,15,9,0.2,2,88.9,0.04,0.1,-,120,"1,200",0.08,0.01,0.3,6,65,Single,Fruit
"Mango, indramayu, fresh",80.2,72,0.8,0.2,18.7,2.5,0.1,13,10,1.9,3,131.4,0.06,0.1,-,178,"2,900",0.06,0.02,0.5,16,65,Single,Fruit
"Mango, kopek, fresh",84.5,56,0.4,0.2,14.6,2,0.3,16,10,1.7,2,102.9,0.04,0.1,-,139,"6,520",0.03,0.01,0.4,27,65,Single,Fruit
"Mango, kwini, fresh",78.6,86,0.7,0.5,19.8,6.5,0.4,11,11,0.2,1,16,0.1,0.1,-,932,-,0.15,0.02,0.5,18,65,Single,Fruit
"Mango, manalagi, fresh",66.5,133,1,0.1,32.1,11.8,0.3,20,23,1,70,161,-,-,-,4,-,0.07,-,0.6,61,65,Single,Fruit
"Mango, unripe, fresh",83.7,59,0.5,0.4,15.1,-,0.3,12,11,0.4,2,108.2,0.05,0.1,-,146,85,0.06,0.02,0.4,2,73,Single,Fruit
"Mangosteen, fresh",83,63,0.6,0.6,15.6,1.5,0.2,8,12,0.8,10,61.9,0.1,0.1,-,-,-,0.03,0.03,0.3,5,29,Single,Fruit
"Passion Fruit, fresh",64.7,144,3.5,1.2,29.8,11.4,0.8,27,203,1.4,37,453.8,0.11,0.1,-,969,691,0.02,0.17,2,10,48,Single,Fruit
"Matoa, fresh",76.5,90,1.2,0.1,21.1,0.5,1.1,20,40,0.6,10,190,0.3,0.6,-,2,-,0.18,0.09,0.5,54,40,Single,Fruit
"Melon, fresh",90.8,37,0.6,0.4,7.8,1,0.5,12,14,0.4,167,167,0.3,0.1,-,"1,000",-,0.02,0.1,-,0.2,58,Single,Fruit
"Menteng, fresh",79,65,1.7,0.3,16.1,-,2.9,13,20,0.8,-,-,-,-,-,-,-,-,-,-,-,64,Single,Fruit
"Palembang pineapple, fresh",85.5,58,0.7,0.2,13.3,1.6,0.3,29,15,0.6,7,117,0.03,0.1,-,17,-,0.26,0.03,0.2,11,53,Single,Fruit
"Pineapple, fresh",88.9,40,0.6,0.3,9.9,0.6,0.3,22,14,0.9,18,111,0.03,0.1,-,17,90,0.02,0.04,0.2,22,53,Single,Fruit
"Jackfruit cooks trees, fresh",70,106,1.2,0.3,27.6,3.7,2.7,20,19,0.9,2,407,246.58,1.4,-,149,330,0.07,0.1,1,7,28,Single,Fruit
"Nutmeg, meat, fresh",88.1,42,0.3,0.2,10.9,0.5,0.5,32,24,1.5,-,-,-,-,-,-,29,-,-,-,22,30,Single,Fruit
"Papaya, fresh",86.7,46,0.5,12,12.2,1.6,0.6,23,12,1.7,4,221,0.02,0.3,-,"1,038",365,0.04,0.06,0.4,78,75,Single,Fruit
"Banana, Ambon, fresh",72.9,108,1,0.8,24.3,1.9,1,20,30,0.2,10,-,0.2,0.2,-,37,-,0.05,0.11,0.1,9,75,Single,Fruit
"Angleng Banana (ampyang), fresh",80.3,68,1.3,0.2,17.2,0.8,1,10,26,0.6,23,215.7,0.04,0,-,9,76,0.08,0.05,2.5,6,75,Single,Fruit
"Banana, ayam, fresh",71.2,120,1.1,0.2,26.8,4.1,0.7,20,61,0.4,6,392,0.1,0.3,-,24,-,0.1,0.02,1,26,75,Single,Fruit
"Banana, gapi, fresh",66.3,127,2.1,0.3,31.1,11.7,1,-,40,0.3,40,392,-,0.3,-,16,-,0.18,0.02,0.3,13,75,Single,Fruit
"Banana, goroho, fresh",69.4,115,1.9,0.2,27.9,4.6,1,-,30,0.2,36,359,-,0.3,-,15,-,0.15,0.02,1.1,10,75,Single,Fruit
"Banana, green, fresh",68.9,117,2,0.3,28.9,0.4,1.1,-,37,0.9,31,529.4,0.28,0.6,-,48,-,0.13,0.06,-,13,72,Single,Fruit
"Banana, wood, fresh",74.4,100,1.4,0.5,23.6,2.6,0.6,15,-,0.1,1,493,0.08,0.3,-,3,-,0.1,-,0.6,11,75,Single,Fruit
"Banana, kepok, fresh",71.9,109,0.8,0.5,26.3,5.7,1,10,30,0.5,10,300,0.1,0.2,-,-,-,0.1,-,0.1,9,75,Single,Fruit
"Banana, ketip, fresh",63.4,145,1.1,0.3,34.5,6.6,0.7,5,54,0.1,4,726,0.15,0.5,-,3,-,0.13,0.02,0.8,95,75,Single,Fruit
"Banana, kidang, fresh",75.4,96,1,0.2,22.5,0.6,0.9,87,173,0.6,6,418.8,0.22,0.5,-,38,58,0.04,0.1,0.9,2,70,Single,Fruit
"Banana, lamoung, fresh",72.1,99,1.3,0.2,25.6,4.3,0.8,10,19,0.9,28,475,0.25,0.5,-,43,618,0.07,0.12,1,4,75,Single,Fruit
"Banana, mas bali ampenan, fresh",76.8,92,1.4,0.2,21,3.7,0.5,7,29,1.2,32,272,0.18,0.4,-,14,-,0.09,0.03,0.6,11,75,Single,Fruit
"Banana, mas bali, fresh",64.2,127,1.4,0.2,31.8,3.7,2.4,10,-,0.1,43,616,0.12,0.4,-,21,-,0.21,0.05,0.9,17,75,Single,Fruit
"Banana, mas, fresh",64.2,127,1.4,0.2,33.6,1.4,0.6,7,25,0.8,42,392,195.78,0.5,-,17,79,0.09,0.08,4.5,2,85,Single,Fruit
"Banana raja sereh, fresh",69.3,108,1.3,0.3,28.2,0.7,1,16,38,0.1,31,522.6,0.27,0.6,-,48,480,0.02,0.08,1.1,2,86,Single,Fruit
"Banana raja, fresh",65.8,120,1.2,0.2,31.8,5.3,1,10,22,0.8,35,582.2,0.31,0.7,-,53,950,0.06,0.14,1.2,10,70,Single,Fruit
"Banana, rotan, fresh",76.1,98,1.3,1.2,20.5,1,0.9,17,51,1.1,24,406.9,0.21,0.5,-,37,697,0.01,0.1,0.9,2,56,Single,Fruit
"Banana, taro, fresh",71,113,1.2,0.2,26.7,4.4,0.9,22,22,0.6,29,48,0.26,0.1,-,159,-,0.12,0.03,1,9,75,Single,Fruit
Seven months bananas,75.9,94,0.6,0.2,22.5,3.7,0.8,50,20,0.2,-,4,0.1,0.4,-,72,-,0.03,0.03,0.3,6,75,Single,Fruit
"Banana, ua. Fresh",67.8,128,0.8,0.5,30.2,8.1,0.7,12,28,0.7,33,382,0.2,0.3,-,5,-,0.09,0.01,1.2,4,75,Single,Fruit
"Banana, uli, fresh",61.8,134,1.1,0.5,35.5,1.4,1.1,31,53,0.9,39,650.3,0.34,0.7,-,59,113,0.11,0.16,1.4,3,77,Single,Fruit
"Lime, wild (Purut)",81.1,76,4.1,1.1,15.2,1.7,1.4,30,76,0.6,10,285.2,-,-,-,27,93,0.01,0.11,-,-,34,Single,Fruit
"Rambutan, binjai, fresh",81,76,0.5,0.2,18,3.8,0.3,15,22,1.2,22,120,0.2,0.2,-,-,-,0.19,0.01,0.4,13,40,Single,Fruit
"Rambutan, fresh",80.5,69,0.9,0.1,18.1,0.8,0.4,16,16,0.5,16,104.2,0.17,0.1,-,-,-,-,0.07,0.5,58,40,Single,Fruit
"Snake fruit (salak), bali, fresh",85.1,57,0.5,0.1,13.6,1.3,0.7,94,25,2.1,-,-,0.08,0.2,-,48,37,-,-,-,0.4,93,Single,Fruit
"Snake fruit (salak), medan, fresh",78.1,55,0.4,0.2,12.8,3.2,8.5,6,46,0.5,39,113,0.2,0.3,-,4,-,0.04,0.03,-,58,93,Single,Fruit
"Snake fruit (salak), pondoh, fresh",77.9,87,0.8,0.4,20.1,-,0.8,38,31,3.9,-,-,0.08,0.2,-,-,40,-,0.12,0.1,8,59,Single,Fruit
"Snake fruit (salak), fresh",78,77,0.4,-,20.9,-,0.7,28,18,4.2,-,-,0.08,0.2,-,48,-,0.04,-,-,2,93,Single,Fruit
"Sapodilla, durian, fresh",87.3,64,1,3.1,8,0.8,0.6,18,45,0.8,13,111.4,0.02,0.1,-,-,-,0.01,0.02,0.1,1,64,Single,Fruit
"Sapodilla, fresh",73.8,111,0.9,2.3,21.6,1,1.4,20,185,0.7,28,117.8,0.04,0.1,-,119,12,-,0.04,1.5,19,83,Single,Fruit
"Sapodilla, manila, fresh",75.5,92,0.5,1.1,22.4,9.5,0.5,25,12,1,26,110.2,0.04,0.1,-,111,60,0.01,0.04,1.4,21,79,Single,Fruit
"Watermelon, fresh",92.1,28,0.5,0.2,6.9,0.4,0.3,7,12,0.2,7,93.8,0.04,0.1,-,315,590,0.05,0.05,0.3,6,46,Single,Fruit
"Soursop, fresh",81.7,65,1,0.3,16.3,3.2,0.7,14,27,0.6,2,298.9,0.08,1,-,8,10,0.07,0.08,0.7,20,68,Single,Fruit
"Sowa, fresh",87.7,48,1.6,0.6,9.1,45,10,50,40,0.3,9,-,0.1,1.5,-,364,-,0.15,0.23,0.2,4,-,Single,Fruit
"Sugar apple (srikaya), fresh",83.4,63,1.1,0.5,13.9,2.1,1.1,127,30,2.7,-,-,-,-,-,-,31,0.08,-,-,28,48,Single,Fruit
"Breadfruit, young, fresh",69.4,119,1.4,0.2,28.1,1.4,1,24,44,1.4,24,414.4,0.09,0.1,-,28,"4,896",0.17,0.17,3.7,52,84,Single,Fruit
"Breadfruit, old, fresh",67.8,126,1.6,0.2,24.5,1.5,1,37,47,1.6,25,436,0.09,0.1,-,30,"2,000",0.18,0.17,3.9,58,88,Single,Fruit
"Vigus, fresh",88,44,2.4,0.1,8.3,-,1.2,30,20,0.3,2,180,0.1,0.2,-,-,-,0.26,0.01,-,43,-,Single,Fruit
"Wani, fresh",81.2,74,0.8,0.3,17.1,3.1,0.6,66,29,1.2,-,-,-,-,-,-,32,0.08,-,-,80,77,Single,Fruit
"Queen Cucumber, fresh",96.3,16,1.3,0,2.1,0.9,2.9,768,422,-,-,"1,008.00",-,-,-,-,-,-,-,-,25,-,Single,Fruit
"Cantaloupe, fresh",90.2,34,0.8,0.2,8.2,0.9,0.7,9,15,0.2,16,267,0.04,0.2,-,"2,029",-,0.04,0.02,0.7,37,-,Single,Fruit
"Chicken, gizzard, fried",4.8,270,32.3,11.2,9.9,-,1.8,129,314,4.9,980,-,0.12,3.3,56,-,-,0.21,-,4.7,-,100,Processed,Meat
"Chicken, intestine, fried",4.6,473,45.2,26.3,13.9,-,10.1,"1,407",458,8.4,-,-,-,-,6,-,224,0.57,-,-,-,100,Processed,Meat
"Duck, meat, fried",48.8,300,24,20.7,4.5,-,2,170,170,4.1,34,6,0.4,3,-,-,-,0.1,0.4,10.6,-,100,Processed,Meat
"Crocodile, meat, beef jerky, raw",12.3,365,49.6,4.8,30.8,-,2.5,60,130,4.3,500,680,0.2,11.6,-,-,-,-,-,0.2,-,100,Processed,Meat
Ham,42,384,16.9,35,0.3,-,5.8,10,136,2.5,112,819.3,0.11,0.4,-,-,-,0.7,0.95,9.7,-,100,Processed,Meat
"Alabio ducks, meat, jerky, raw",12.7,496,30.3,33.5,18.4,-,5.1,135,370,12.5,"1,081",478,0.7,0.3,-,-,-,-,-,-,-,100,Processed,Meat
Veins crackers,3.6,588,53.7,40.9,1.2,-,0.6,36,15,1.3,"1,024",37,0.1,0.2,"2,802",-,-,-,-,-,-,100,Processed,Meat
"Menjangan, meat, jerky, raw",14.3,322,55.8,2,22.7,-,5.3,55,310,2.1,765,"1,282.00",1.7,3.2,"3,391",26,-,-,-,-,-,100,Processed,Meat
"Punai, meat, fried",54.5,224,26.2,11.3,4.4,-,3.6,362,362,3.1,2,19,0.3,1.6,-,-,-,-,-,-,-,100,Processed,Meat
"Deer, meat, beef jerky, raw",18.3,536,40.5,41.5,-,-,2.5,90,420,13.4,130,690,0.3,10.7,285,-,-,-,-,0.2,-,100,Processed,Meat
"Cow, shredded",7.1,212,18,10.6,59.3,7.5,4.7,150,209,12.3,-,-,-,-,-,240,138,0.17,-,-,-,100,Processed,Meat
"Cow, shredded, original",24.8,358,14.6,16.1,38.6,2.5,5.8,165,136,14.6,-,-,-,-,3,194,144,0.13,-,-,-,100,Processed,Meat
"Cow, meat, smoke",60,182,32,6,-,-,2,15,300,5,"1,620",485.4,0.03,5.1,6,-,-,0.12,0.23,5.9,-,100,Processed,Meat
"Beef, meat, beef jerky, raw",25,301,55,9,-,-,11,30,370,5.1,-,-,-,-,-,-,-,0.1,-,-,-,100,Processed,Meat
"Beef, meat, corned",53,289,16,25,-,-,6,10,170,4,794,94.4,0.07,4,-,52,-,0.01,0.16,2.7,-,100,Processed,Meat
"Beef, meat, sausages (Worst)",37.6,448,14.5,42.3,2.3,-,3.3,28,61,1.1,765,284.5,0.06,1.7,-,-,-,0.1,0.18,4.9,-,100,Processed,Meat
"Cow, liver, sausage (liverworst)",56.6,274,16,22,3,2.3,2.4,20,150,4,654,158.8,0.22,2.2,"1,201",-,-,0.2,0.96,4,-,100,Processed,Meat
"Cow, lung, jerky, raw",9.7,360,57.3,6,19.2,-,7.8,126,903,21.1,"1,483",864,1.2,6.1,"2,827",-,-,-,-,-,-,100,Processed,Meat
"Cow, lung, fried",45.5,268,23.9,12.7,14.5,-,3.1,102,315,8.8,923,299,-,1.5,790,-,-,-,-,-,-,100,Processed,Meat
"Sago caterpillars, roast",41.3,380,11.9,30.3,14.9,4.8,1.6,30,120,1.5,260,550,3.1,14.2,-,-,-,0.5,2.5,0.1,-,100,Processed,Meat
"Texas church fried chicken, breast",42.2,338,35.2,20.6,0.4,-,1.5,79,221,5.6,800,369.5,0.16,1.1,16,-,80,0.52,0.16,12.1,-,100,Processed,Meat
"Church fried chicken, Texas thighs",50.3,287,31,15.7,1.7,-,1.3,99,176,4.1,723,257,0.17,1.5,22,-,30,0.66,0.2,5.3,-,100,Processed,Meat
"Texas church fried chicken, wings",47.2,295,34,16,1.5,-,1.3,81,179,3,771,237.2,0.16,1.2,13,-,50,0.44,0.13,6.2,-,100,Processed,Meat
"Kalasan fried chicken, thigh",46.2,275,37.4,12.2,1.3,-,2.9,116,237,5.8,176,321.9,0.16,1.5,10,-,50,0.1,-,-,-,100,Processed,Meat
"Kentucky Fried Chicken, breast",46.5,298,34.2,16.8,0.1,-,2.5,90,284,5.5,741,342,0.07,1,36,-,50,0.19,-,-,-,100,Processed,Meat
"Kentucky fried chicken, thigh",48.7,286,32.1,16.1,1.1,-,2,89,248,6.9,746,265.2,0.09,2.3,31,-,20,0.5,0.21,5.5,-,100,Processed,Meat
"Kentucky fried chicken, wings",44.7,297,35.9,15.2,1.6,-,2.6,103,227,4.4,807,248.4,0.06,1.4,22,-,70,0.73,0.14,6.5,-,100,Processed,Meat
"Mbok Berek fried chicken, breast",43.4,295,39.2,13.6,1,-,2.8,114,278,5.4,-,-,-,-,8,-,50,0.19,-,-,-,100,Processed,Meat
"Pasundan fried chicken, breast",50.1,246,37.9,9,0.7,-,2.3,90,260,7.5,-,-,-,-,6,-,70,0.16,-,-,-,100,Processed,Meat
"Pasundan fried chicken, thigh",52.8,245,33.1,11.4,0.3,-,2.5,90,283,7.3,-,-,-,-,8,-,40,0.37,-,-,-,100,Processed,Meat
"Pioneer fried chicken, breast",44.5,295,37.4,14.7,0.6,-,2.7,108,236,6.8,-,-,-,-,16,-,80,0.1,-,-,-,100,Processed,Meat
"Sukabumi fried chicken, breast",49.8,244,36.7,9.2,1,-,3.4,81,154,6.1,-,-,-,-,20,-,80,0.66,-,-,-,100,Processed,Meat
"Sukabumi fried chicken, thigh",46,283,35.7,14.3,0.5,-,3.6,68,106,5.4,-,-,-,-,11,-,60,0.36,-,-,-,100,Processed,Meat
"Taliwang chicken, cooking",57.5,264,18.2,20.1,2.7,-,1.5,94,164,2,507,408,0.4,12.3,"1,067",-,-,-,-,-,-,100,Processed,Meat
"Wild boar cooking rica, cooking",56.2,491,24.6,16.3,0.2,-,2.7,18,144,1.2,"1,415",327,0.2,2.6,"2,193",-,-,0.61,0.47,-,0.2,100,Processed,Meat
Beef burger,45.5,258,10.6,9.5,32.5,0.4,2.2,210,157,2.6,572,189.1,-,-,218,-,"7,580",0.95,-,-,-,100,Processed,Meat
"Beef teriyaki, cooking",65.1,151,8.6,3.1,22.3,0.3,0.9,142,62,2.3,377,-,-,-,22,-,400,0.53,-,-,-,100,Processed,Meat
"Beef yakiniku, cooking",67.7,132,9.8,1.1,20.7,0.3,0.8,302,67,2,409,-,-,-,78,-,700,0.62,-,-,-,100,Processed,Meat
Brongkos,76.4,141,15.3,3.3,12.6,1,2.4,87,97,5.1,-,-,-,-,4,-,356,0.4,-,-,-,100,Processed,Meat
"Bulgogi, cooking",84.2,72,11.4,4.9,1.4,1.7,0.7,214,86,2.5,509,-,-,-,17,-,-,1.08,-,-,-,100,Processed,Meat
"Chicken teriyaki, cooking",68.2,168,13,9.6,7.5,0.8,1.7,137,106,3.1,959,-,-,-,68,-,"2,200",0.65,-,-,-,100,Processed,Meat
"Chikiniku, cooking",65.4,143,9.8,1.4,22.8,0.4,0.6,301,63,2,531,-,-,-,27,-,"1,280",0.73,-,-,-,100,Processed,Meat
"Coto mangkasara, horses, cooking",83.5,96,6.8,5.9,3.8,-,0.9,11,106,2.3,96,31,0.1,1,-,-,-,0.23,0.14,4.2,-,100,Processed,Meat
"Coto mangkasara, beef, cooking",85.9,84,6,6,1.4,-,0.7,8,104,4,90,25,0.3,0.6,-,-,-,0.16,0.14,10.3,-,100,Processed,Meat
"Djibokum, cooking",43.4,248,10,2.3,40.9,0.1,3.4,116,110,2.8,401,-,-,-,52,-,"1,920",0.75,-,-,-,100,Processed,Meat
"Empal (meat) Fried, cooking",43.9,248,36.2,6.9,10.1,-,2,131,235,6.4,848,-,-,-,112,-,620,0.55,-,-,-,100,Processed,Meat
Goat curry,78.4,126,4.2,9.4,6.2,-,1.8,45,73,1.3,302,138,0.2,1.1,151,-,-,0.13,0.01,-,-,100,Processed,Meat
"Jangato bintatoeng, cooking",73.6,107,5.3,2.2,16.5,-,2.4,64,61,2.5,482,406,0.2,0.8,-,-,-,0.18,0.02,3.4,-,100,Processed,Meat
"Kalio chicken, cooking",64.7,203,16,13.5,4.4,-,1.4,278,177,4.2,534,-,-,-,105,-,"3,780",0.35,-,-,-,100,Processed,Meat
"Kalio offal, cooking",68.9,163,16.5,9,4.1,-,1.5,102,268,7.1,570,-,-,-,298,-,"1,960",0.7,-,-,-,100,Processed,Meat
"Kalio kikil, cooking",75.3,122,13.8,5.7,3.9,-,1.3,154,59,3.4,519,-,-,-,36,-,"1,440",0.38,-,-,-,100,Processed,Meat
"Kalio brain, cooking",70.3,157,8.1,8.8,11.4,-,1.4,212,69,3.3,604,-,-,-,32,-,"1,040",0.45,-,-,-,100,Processed,Meat
"Pork Lawar, cooking",68.8,174,17,10,3,-,1.2,61,141,3,-,-,-,-,-,-,-,0.1,-,-,-,100,Processed,Meat
"Turtle Lawar, cooking",66.3,141,23,1.5,7.6,-,1.6,69,141,6,-,-,-,-,-,-,-,0.1,-,-,-,100,Processed,Meat
"Jangang lawara, cooking",72.4,159,5,10.9,10.1,-,1.6,57,107,1.5,400,"2,368.00",0.1,1,14,-,-,0.25,0.16,-,-,100,Processed,Meat
"Naan maran cow, cooking",14.8,478,38.3,33.9,5.1,-,7.9,30,390,11.8,220,320,0.6,3.9,33,-,-,-,-,0.2,-,100,Processed,Meat
"Nasu likku, cooking",59,196,14.5,8.3,15.9,-,2.3,69,157,1,386,470,0.3,2,-,-,-,0.2,0.24,1.5,-,100,Processed,Meat
"Oramu ninahu ndawa ifo, cooking",74.9,117,13.7,5,4.3,-,0.1,964,804,2,-,727,0.3,1.5,"4,095",-,-,0.77,0.04,1.7,-,100,Processed,Meat
"Paniki cooks coconut milk, cooking",25.4,460,28.5,35.2,7.2,-,3.7,188,357,5.5,"2,002",532,0.4,2.5,954,-,-,0.27,0.19,-,-,100,Processed,Meat
"Pelolah manuk, cooking",60,219,19.7,13.6,4.4,-,2.3,33,160,1.6,577,-,-,-,137,-,"1,940",0.42,-,-,-,100,Processed,Meat
"Rawon, cooking",86,60,5.4,2.5,4,0.3,1.7,272,153,3.3,-,-,-,-,11,-,"1,235",0.09,-,-,-,100,Processed,Meat
"Rendang beef, cooking",57.9,193,22.6,7.9,7.8,-,3.8,474,211,14.9,-,-,-,-,21,-,534,0.12,-,-,-,100,Processed,Meat
"RW, dog, cooking",60.8,198,24.6,10.7,0.9,-,3,"1,071",876,4,"1,604",226,0.1,2.8,256,-,-,0.35,0.2,-,-,100,Processed,Meat
"Satay, turtle, cooking",57.4,179,22.5,3.5,13.3,-,3.3,187,238,14.4,-,-,-,-,-,-,-,0.1,-,-,-,100,Processed,Meat
"Pusut satay, cooking",52.1,274,12.9,18.6,13.6,-,2.8,63,190,2.7,609,-,-,-,133,-,-,0.06,-,-,-,100,Processed,Meat
"Turtle, expletives, cooking",71.3,174,13.1,12.2,2.2,-,1.2,72,186,9.5,-,507,0.8,2.4,"1,302",-,-,-,-,-,-,100,Processed,Meat
"Sie Reuboh, cooking",32.4,474,11.2,42.5,11.7,-,2.2,26,62,1.3,677,176,2.4,3.2,141,9,-,0.46,0.26,-,-,100,Processed,Meat
"Oxtail soup, cooking",86.1,71,7.5,3.6,2.2,-,0.6,286,38,3.2,490,-,-,-,119,-,"2,900",0.14,-,-,-,100,Processed,Meat
